Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16927439201700000099P;FA052059;PAGO CONFIRMADO;56,52;0;06/06/2017;14/06/2017;56.52;07/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16938977201700000025P;FA052034;PAGO CONFIRMADO;904,34;0;06/06/2017;14/06/2017;904.34;07/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16938977201700000023P;FA052052;PAGO CONFIRMADO;904,34;0;06/06/2017;14/06/2017;904.34;07/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16938977201700000024P;FA052033;PAGO CONFIRMADO;904,34;0;06/06/2017;14/06/2017;904.34;07/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16912880201700000010P;FA052017;PAGO CONFIRMADO;197,82;0;06/06/2017;14/06/2017;197.82;07/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16928812201700000111P;FA052011;PAGO CONFIRMADO;904,34;0;06/06/2017;14/06/2017;904.34;07/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16005815201700000001P;FA052004;PAGO CONFIRMADO;395,65;0;06/06/2017;14/06/2017;395.65;07/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16792760201700000002P;FA052002;PAGO CONFIRMADO;104,53;0;06/06/2017;14/06/2017;104.53;07/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16790451201700000007P;FA051985;PAGO CONFIRMADO;104,53;0;06/06/2017;14/06/2017;104.53;07/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16918478201700000006P;FA051961;PAGO CONFIRMADO;904,34;0;05/06/2017;13/06/2017;904.34;07/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
