Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16915197201700000024P;FA050977;PAGO CONFIRMADO;904.34;0;25/05/2017;02/06/2017;904.34;25/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927174201700000137P;FA050994;PAGO CONFIRMADO;904.34;0;25/05/2017;02/06/2017;904.34;25/05/2017;ARCSA;25/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16919062201700000833P;FA050989;PAGO CONFIRMADO;714.72;0;25/05/2017;02/06/2017;714.72;25/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16927174201700000138P;FA050986;PAGO CONFIRMADO;904.34;0;25/05/2017;02/06/2017;904.34;25/05/2017;ARCSA;25/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16914113201700000014P;FA050931;PAGO CONFIRMADO;904.34;0;24/05/2017;01/06/2017;904.34;25/05/2017;ARCSA;24/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16790754201700000003P;FA050945;PAGO CONFIRMADO;104.53;0;24/05/2017;01/06/2017;104.53;25/05/2017;ARCSA;24/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929463201700001644P;FA050922;PAGO CONFIRMADO;904.34;0;24/05/2017;01/06/2017;904.34;25/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16916354201600000008P;FA050901;PAGO CONFIRMADO;542.12;0;24/05/2017;01/06/2017;542.12;25/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929111201700000088P;FA050765;PAGO CONFIRMADO;904.34;0;24/05/2017;01/06/2017;904.34;25/05/2017;ARCSA;;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16793914201700000001P;FA050893;PAGO CONFIRMADO;68.06;0;24/05/2017;01/06/2017;68.06;25/05/2017;ARCSA;24/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928551201700000267P;FA050889;PAGO CONFIRMADO;904.34;0;24/05/2017;01/06/2017;904.34;25/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928551201700000047P;FA050887;PAGO CONFIRMADO;271.29;0;24/05/2017;01/06/2017;271.29;25/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16793704201700000002P;FA050885;PAGO CONFIRMADO;904.34;0;24/05/2017;01/06/2017;904.34;25/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
