Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16930743201700000019P;FA051166;PAGO CONFIRMADO;452.17;0;29/05/2017;06/06/2017;452.17;29/05/2017;ARCSA;29/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16008636201700000068P;FA051138;PAGO CONFIRMADO;904.34;0;29/05/2017;06/06/2017;904.34;29/05/2017;ARCSA;29/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16933683201700000010P;FA051131;PAGO CONFIRMADO;271.29;0;29/05/2017;06/06/2017;271.29;29/05/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16009638201700000021P;FA051113;PAGO CONFIRMADO;452.17;0;29/05/2017;06/06/2017;452.17;29/05/2017;ARCSA;29/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16933425201700000024P;FA051127;PAGO CONFIRMADO;904.34;0;29/05/2017;06/06/2017;904.34;29/05/2017;ARCSA;29/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16787982201700000004P;FA051105;PAGO CONFIRMADO;104.53;0;28/05/2017;05/06/2017;104.53;29/05/2017;ARCSA;28/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16913219201700000036P;FA051063;PAGO CONFIRMADO;904.34;0;26/05/2017;03/06/2017;904.34;29/05/2017;ARCSA;26/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16913219201700000035P;FA051062;PAGO CONFIRMADO;904.34;0;26/05/2017;03/06/2017;904.34;29/05/2017;ARCSA;26/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16913219201700000034P;FA051042;PAGO CONFIRMADO;904.34;0;26/05/2017;03/06/2017;904.34;29/05/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16010295201700000005P;FA051012;PAGO CONFIRMADO;104.53;0;25/05/2017;02/06/2017;104.53;29/05/2017;ARCSA;25/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16940701201700000001P;FA051034;PAGO CONFIRMADO;904.34;0;25/05/2017;02/06/2017;904.34;29/05/2017;ARCSA;27/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16010295201700000004P;FA051030;PAGO CONFIRMADO;104.53;0;25/05/2017;02/06/2017;104.53;29/05/2017;ARCSA;25/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16793709201700000017P;FA051028;PAGO CONFIRMADO;104.53;0;25/05/2017;02/06/2017;104.53;29/05/2017;ARCSA;25/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
