Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16914771201700000405P;FA053465;PAGO CONFIRMADO;58.34;0;21/06/2017;29/06/2017;58.34;21/06/2017;ARCSA;21/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16914771201700000404P;FA053464;PAGO CONFIRMADO;58.34;0;21/06/2017;29/06/2017;58.34;21/06/2017;ARCSA;21/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16914771201700000402P;FA053440;PAGO CONFIRMADO;58.34;0;21/06/2017;29/06/2017;58.34;21/06/2017;ARCSA;21/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16914771201700000403P;FA053462;PAGO CONFIRMADO;58.34;0;21/06/2017;29/06/2017;58.34;21/06/2017;ARCSA;21/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16914771201700000401P;FA053455;PAGO CONFIRMADO;58.34;0;21/06/2017;29/06/2017;58.34;21/06/2017;ARCSA;21/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16914771201700000400P;FA053453;PAGO CONFIRMADO;58.34;0;21/06/2017;29/06/2017;58.34;21/06/2017;ARCSA;21/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16932604201700000069P;FA053424;PAGO CONFIRMADO;271.29;0;21/06/2017;01/07/2017;271.29;21/06/2017;ARCSA;21/06/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16901726201700000324P;FA053369;PAGO CONFIRMADO;904.34;0;21/06/2017;01/07/2017;904.34;21/06/2017;ARCSA;21/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928829201700000646P;FA053362;PAGO CONFIRMADO;90.43;0;21/06/2017;01/07/2017;90.43;21/06/2017;ARCSA;21/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16792582201700000004P;FA053345;PAGO CONFIRMADO;104.53;0;20/06/2017;28/06/2017;104.53;21/06/2017;ARCSA;20/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16785443201700000002P;FA053326;PAGO CONFIRMADO;340.34;0;20/06/2017;28/06/2017;340.34;21/06/2017;ARCSA;20/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16915197201700000042P;FA053321;PAGO CONFIRMADO;565.21;0;20/06/2017;30/06/2017;565.21;21/06/2017;ARCSA;20/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16915197201700000041P;FA053342;PAGO CONFIRMADO;565.21;0;20/06/2017;30/06/2017;565.21;21/06/2017;ARCSA;20/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
