Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16788589201700000039P;FA052930;PAGO CONFIRMADO;96,09;0;16/06/2017;26/06/2017;96.09;16/06/2017;ARCSA;16/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788589201700000038P;FA052945;PAGO CONFIRMADO;96,09;0;16/06/2017;26/06/2017;96.09;16/06/2017;ARCSA;16/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788589201700000037P;FA052925;PAGO CONFIRMADO;96,09;0;16/06/2017;26/06/2017;96.09;16/06/2017;ARCSA;16/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929002201700000085P;FA052922;PAGO CONFIRMADO;714,72;0;16/06/2017;24/06/2017;714.72;16/06/2017;ARCSA;16/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16916534201700000141P;FA052883;PAGO CONFIRMADO;180,86;0;15/06/2017;25/06/2017;180.86;16/06/2017;ARCSA;15/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16914196201700000078P;FA052876;PAGO CONFIRMADO;90,43;0;15/06/2017;25/06/2017;90.43;16/06/2017;ARCSA;15/06/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16927174201700000150P;FA052855;PAGO CONFIRMADO;904,34;0;15/06/2017;25/06/2017;904.34;16/06/2017;ARCSA;15/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16914261201700000240P;FA052847;PAGO CONFIRMADO;714,72;0;15/06/2017;23/06/2017;714.72;16/06/2017;ARCSA;15/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788589201700000024P;FA052843;PAGO CONFIRMADO;96,09;0;15/06/2017;25/06/2017;96.09;16/06/2017;ARCSA;16/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929002201700000060P;FA052792;PAGO CONFIRMADO;904,34;0;14/06/2017;24/06/2017;904.34;16/06/2017;ARCSA;15/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16004468201700000008P;FA052790;PAGO CONFIRMADO;90,43;0;14/06/2017;24/06/2017;90.43;16/06/2017;ARCSA;14/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16919058201700000217P;FA052808;PAGO CONFIRMADO;71,47;0;14/06/2017;10/01/2018;71.47;16/06/2017;ARCSA;16/06/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16919058201700000216P;FA052807;PAGO CONFIRMADO;71,47;0;14/06/2017;10/01/2018;71.47;16/06/2017;ARCSA;16/06/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
