Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16901637201700000783P;FA053077;PAGO CONFIRMADO;90,43;0;19/06/2017;29/06/2017;90.43;19/06/2017;ARCSA;19/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788589201700000044P;FA053082;PAGO CONFIRMADO;96,09;0;19/06/2017;29/06/2017;96.09;19/06/2017;ARCSA;19/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16930904201700000006P;FA053062;PAGO CONFIRMADO;904,34;0;19/06/2017;27/06/2017;904.34;19/06/2017;ARCSA;19/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788589201700000036P;FA053023;PAGO CONFIRMADO;96,09;0;16/06/2017;26/06/2017;96.09;19/06/2017;ARCSA;16/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788589201700000041P;FA053022;PAGO CONFIRMADO;96,09;0;16/06/2017;26/06/2017;96.09;19/06/2017;ARCSA;16/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788589201700000042P;FA053001;PAGO CONFIRMADO;96,09;0;16/06/2017;26/06/2017;96.09;19/06/2017;ARCSA;16/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788589201700000043P;FA053000;PAGO CONFIRMADO;96,09;0;16/06/2017;26/06/2017;96.09;19/06/2017;ARCSA;16/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928912201700000016P;FA052998;PAGO CONFIRMADO;90,43;0;16/06/2017;24/06/2017;90.43;19/06/2017;ARCSA;19/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16779082201700000004P;FA052997;PAGO CONFIRMADO;90,43;0;16/06/2017;24/06/2017;90.43;19/06/2017;ARCSA;19/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788314201600000093P;FA052995;PAGO CONFIRMADO;2258,41;0;16/06/2017;12/01/2018;2258.41;19/06/2017;ARCSA;19/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788589201700000045P;FA052996;PAGO CONFIRMADO;96,09;0;16/06/2017;26/06/2017;96.09;19/06/2017;ARCSA;16/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16793969201700000003P;FA053007;PAGO CONFIRMADO;96,09;0;16/06/2017;26/06/2017;96.09;19/06/2017;ARCSA;16/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16778502201700000005P;FA053002;PAGO CONFIRMADO;34,03;0;16/06/2017;24/06/2017;34.03;19/06/2017;ARCSA;16/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
