Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16781468201700000073P;FA051607;PAGO CONFIRMADO;180.86;0;01/06/2017;09/06/2017;180.86;01/06/2017;ARCSA;01/06/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16781468201700000072P;FA051605;PAGO CONFIRMADO;180.86;0;01/06/2017;09/06/2017;180.86;01/06/2017;ARCSA;01/06/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16781468201700000070P;FA051602;PAGO CONFIRMADO;180.86;0;01/06/2017;09/06/2017;180.86;01/06/2017;ARCSA;01/06/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16781468201700000069P;FA051578;PAGO CONFIRMADO;180.86;0;01/06/2017;09/06/2017;180.86;01/06/2017;ARCSA;01/06/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901726201700000315P;FA051571;PAGO CONFIRMADO;904.34;0;01/06/2017;09/06/2017;904.34;01/06/2017;ARCSA;01/06/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16915197201700000032P;FA051538;PAGO CONFIRMADO;904.34;0;01/06/2017;09/06/2017;904.34;01/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901726201700000312P;FA051565;PAGO CONFIRMADO;904.34;0;01/06/2017;09/06/2017;904.34;01/06/2017;ARCSA;01/06/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16915197201700000025P;FA051559;PAGO CONFIRMADO;904.34;0;01/06/2017;09/06/2017;904.34;01/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901726201700000311P;FA051556;PAGO CONFIRMADO;904.34;0;01/06/2017;09/06/2017;904.34;01/06/2017;ARCSA;01/06/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16915197201700000028P;FA051554;PAGO CONFIRMADO;904.34;0;01/06/2017;09/06/2017;904.34;01/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16915197201700000026P;FA051552;PAGO CONFIRMADO;904.34;0;01/06/2017;09/06/2017;904.34;01/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911962201700000006P;FA051531;PAGO CONFIRMADO;180.86;0;01/06/2017;09/06/2017;180.86;01/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16778591201700000001P;FA051543;PAGO CONFIRMADO;104.53;0;01/06/2017;09/06/2017;104.53;01/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
