Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16922126201700000045P;FA050981;PAGO AUTORIZADO;90.43;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16913572201700000144P;FA051000;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16931310201700000104P;FA050999;PAGO AUTORIZADO;271.29;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16928386201700000922P;FA050980;PAGO AUTORIZADO;180.86;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16928386201700000935P;FA050998;PAGO AUTORIZADO;271.29;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16928386201700000929P;FA050979;PAGO AUTORIZADO;271.29;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16916534201700000051P;FA050997;PAGO AUTORIZADO;90.43;0;25/05/2017;02/06/2017;0;;ARCSA;;;;LIQUIDACION POR SOLICITUD VUE
16928386201700000934P;FA050996;PAGO AUTORIZADO;90.43;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16932644201700000147P;FA050995;PAGO AUTORIZADO;714.72;0;25/05/2017;02/06/2017;0;;ARCSA;;;;LIQUIDACION POR SOLICITUD VUE
16788910201700000009P;FA050978;PAGO AUTORIZADO;714.72;0;25/05/2017;02/06/2017;0;;ARCSA;;;;LIQUIDACION POR SOLICITUD VUE
16915197201700000024P;FA050977;PAGO CONFIRMADO;904.34;0;25/05/2017;02/06/2017;904.34;25/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16913572201700000143P;FA050976;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16927174201700000137P;FA050994;PAGO CONFIRMADO;904.34;0;25/05/2017;02/06/2017;904.34;25/05/2017;ARCSA;25/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16931408201700000005P;FA050975;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16913572201700000145P;FA050974;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16913572201700000142P;FA050973;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16793931201700000003P;FA050993;PAGO AUTORIZADO;41.8;0;25/05/2017;02/06/2017;0;;ARCSA;26/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16911264201600000234P;FA050992;PAGO AUTORIZADO;510.51;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16789627201700000003P;FA050991;PAGO AUTORIZADO;31.35;0;25/05/2017;02/06/2017;0;;ARCSA;;;;LIQUIDACION POR SOLICITUD VUE
16913572201700000141P;FA050990;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16919062201700000833P;FA050989;PAGO CONFIRMADO;714.72;0;25/05/2017;02/06/2017;714.72;25/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16933683201700000011P;FA050972;PAGO AUTORIZADO;271.29;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16004129201700000070P;FA050971;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16913572201700000140P;FA050988;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16913572201700000139P;FA050987;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16931408201700000004P;FA050970;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16930585201700000065P;FA050985;PAGO AUTORIZADO;90.44;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16927174201700000138P;FA050986;PAGO CONFIRMADO;904.34;0;25/05/2017;02/06/2017;904.34;25/05/2017;ARCSA;25/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16933683201700000008P;FA050984;PAGO AUTORIZADO;271.29;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16932140201700000014P;FA050983;PAGO AUTORIZADO;361.72;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16787886201600000010P;FA050982;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16913572201700000135P;FA050941;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16913572201700000128P;FA050940;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16933683201700000007P;FA050969;PAGO AUTORIZADO;271.29;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16930516201700000018P;FA050968;PAGO AUTORIZADO;904.34;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16794082201700000006P;FA050967;PAGO AUTORIZADO;340.34;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16005056201700000006P;FA050966;PAGO AUTORIZADO;197.82;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16905896201700000006P;FA050965;PAGO AUTORIZADO;34.03;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16931310201700000100P;FA050964;PAGO AUTORIZADO;271.29;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16912572201700000034P;FA050939;PAGO AUTORIZADO;90.43;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16927374201600000046P;FA050963;PAGO AUTORIZADO;90.43;0;25/05/2017;02/06/2017;0;;ARCSA;;;;LIQUIDACION POR SOLICITUD VUE
16787369201700000004P;FA050938;PAGO AUTORIZADO;20.9;0;25/05/2017;02/06/2017;0;;ARCSA;;;;LIQUIDACION POR SOLICITUD VUE
16912228201700000004P;FA050962;PAGO AUTORIZADO;197.82;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
16794113201700000003P;FA050937;PAGO AUTORIZADO;104.53;0;25/05/2017;02/06/2017;0;;ARCSA;25/05/2017;;;LIQUIDACION POR SOLICITUD VUE
