Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16928435201700000097P;FA053246;PAGO CONFIRMADO;150;0;20/06/2017;28/06/2017;150;20/06/2017;ARCSA;20/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16789383201700000001P;FA053214;PAGO CONFIRMADO;104.53;0;19/06/2017;27/06/2017;104.53;20/06/2017;ARCSA;20/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928812201700000129P;FA053160;PAGO CONFIRMADO;180.86;0;19/06/2017;29/06/2017;180.86;20/06/2017;ARCSA;19/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927174201700000168P;FA053185;PAGO CONFIRMADO;180.86;0;19/06/2017;29/06/2017;180.86;20/06/2017;ARCSA;20/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929085201700000397P;FA053158;PAGO CONFIRMADO;904.34;0;19/06/2017;27/06/2017;904.34;20/06/2017;ARCSA;20/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928558201700000011P;FA053157;PAGO CONFIRMADO;904.34;0;19/06/2017;29/06/2017;904.34;20/06/2017;ARCSA;20/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928558201700000015P;FA053184;PAGO CONFIRMADO;904.34;0;19/06/2017;29/06/2017;904.34;20/06/2017;ARCSA;20/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16001588201700000018P;FA053151;PAGO CONFIRMADO;678.25;0;19/06/2017;04/07/2017;678.25;20/06/2017;ARCSA;20/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16001588201700000019P;FA053181;PAGO CONFIRMADO;678.25;0;19/06/2017;04/07/2017;678.25;20/06/2017;ARCSA;20/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927277201700000033P;FA053179;PAGO CONFIRMADO;71.47;0;19/06/2017;27/06/2017;71.47;20/06/2017;ARCSA;20/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911381201700000423P;FA053153;PAGO CONFIRMADO;58.34;0;19/06/2017;27/06/2017;58.34;20/06/2017;ARCSA;19/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16931503201600000018P;FA053178;PAGO CONFIRMADO;2258.41;0;19/06/2017;15/01/2018;2258.41;20/06/2017;ARCSA;19/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911381201700000422P;FA053175;PAGO CONFIRMADO;58.34;0;19/06/2017;27/06/2017;58.34;20/06/2017;ARCSA;19/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
