Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16923388201700000011P;FA051218;PAGO CONFIRMADO;904.34;0;29/05/2017;06/06/2017;904.34;30/05/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788314201600000102P;FA051215;PAGO CONFIRMADO;2258.41;0;29/05/2017;06/06/2017;2258.41;30/05/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16010222201700000007P;FA051186;PAGO CONFIRMADO;104.53;0;29/05/2017;06/06/2017;104.53;30/05/2017;ARCSA;29/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16932208201700000002P;FA051159;PAGO CONFIRMADO;90.43;0;29/05/2017;06/06/2017;90.43;30/05/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929835201700000009P;FA051157;PAGO CONFIRMADO;271.29;0;29/05/2017;06/06/2017;271.29;30/05/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16003686201700000008P;FA051149;PAGO CONFIRMADO;96.09;0;29/05/2017;06/06/2017;96.09;29/05/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16003686201700000007P;FA051148;PAGO CONFIRMADO;96.09;0;29/05/2017;06/06/2017;96.09;29/05/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16003686201700000006P;FA051169;PAGO CONFIRMADO;96.09;0;29/05/2017;06/06/2017;96.09;29/05/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16794255201700000001P;FA051147;PAGO CONFIRMADO;104.53;0;29/05/2017;06/06/2017;104.53;30/05/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901637201700000725P;FA051165;PAGO CONFIRMADO;90.43;0;29/05/2017;06/06/2017;90.43;30/05/2017;ARCSA;29/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16793246201700000002P;FA051145;PAGO CONFIRMADO;104.53;0;29/05/2017;06/06/2017;104.53;30/05/2017;ARCSA;29/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16941187201700000182P;FA051121;PAGO CONFIRMADO;904.34;0;29/05/2017;06/06/2017;904.34;30/05/2017;ARCSA;30/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16790651201700000001P;FA051140;PAGO CONFIRMADO;102.09;0;29/05/2017;06/06/2017;102.09;30/05/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
