Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16928812201700000106P;FA051280;PAGO CONFIRMADO;904.34;0;30/05/2017;07/06/2017;904.34;02/06/2017;ARCSA;30/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16005980201700000014P;FA051279;PAGO CONFIRMADO;904.34;0;30/05/2017;07/06/2017;904.34;02/06/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910504201700000305P;FA051261;PAGO CONFIRMADO;56.52;0;30/05/2017;07/06/2017;56.52;02/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910504201700000303P;FA051260;PAGO CONFIRMADO;90.43;0;30/05/2017;07/06/2017;90.43;02/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910504201700000304P;FA051259;PAGO CONFIRMADO;90.43;0;30/05/2017;07/06/2017;90.43;02/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16005980201700000012P;FA051253;PAGO CONFIRMADO;904.34;0;30/05/2017;07/06/2017;904.34;02/06/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16004129201700000072P;FA051252;PAGO CONFIRMADO;904.34;0;30/05/2017;07/06/2017;904.34;02/06/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16005980201700000011P;FA051246;PAGO CONFIRMADO;904.34;0;30/05/2017;07/06/2017;904.34;02/06/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16933683201700000020P;FA051266;PAGO CONFIRMADO;90.43;0;30/05/2017;07/06/2017;90.43;02/06/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927944201700000035P;FA051262;PAGO CONFIRMADO;34.03;0;30/05/2017;07/06/2017;34.03;02/06/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16791293201700000002P;FA051244;PAGO CONFIRMADO;96.09;0;30/05/2017;07/06/2017;96.09;02/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929002201700000059P;FA051243;PAGO CONFIRMADO;71.47;0;30/05/2017;07/06/2017;71.47;02/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16930988201700000003P;FA051184;PAGO CONFIRMADO;34.03;0;29/05/2017;06/06/2017;34.03;02/06/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911495201700000513P;FA051178;PAGO CONFIRMADO;58.34;0;29/05/2017;06/06/2017;58.34;02/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928386201700000944P;FA051175;PAGO CONFIRMADO;180.86;0;29/05/2017;06/06/2017;180.86;01/06/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16910504201700000312P;FA051154;PAGO CONFIRMADO;180.86;0;29/05/2017;06/06/2017;180.86;02/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927944201700000034P;FA051146;PAGO CONFIRMADO;34.03;0;29/05/2017;06/06/2017;34.03;02/06/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901637201700000722P;FA051163;PAGO CONFIRMADO;904.34;0;29/05/2017;06/06/2017;904.34;02/06/2017;ARCSA;29/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927710201700000026P;FA051137;PAGO CONFIRMADO;451.68;0;29/05/2017;06/06/2017;451.68;02/06/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16009093201700000009P;FA051118;PAGO CONFIRMADO;452.17;0;29/05/2017;06/06/2017;452.17;02/06/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927488201700000106P;FA051119;PAGO CONFIRMADO;225.84;0;29/05/2017;06/06/2017;225.84;02/06/2017;ARCSA;30/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911780201700000013P;FA051132;PAGO CONFIRMADO;714.72;0;29/05/2017;06/06/2017;714.72;02/06/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910995201700000071P;FA051129;PAGO CONFIRMADO;565.21;0;29/05/2017;06/06/2017;565.21;02/06/2017;ARCSA;31/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910623201700000046P;FA051027;PAGO CONFIRMADO;90.43;0;25/05/2017;02/06/2017;90.43;02/06/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16004408201700000020P;FA050843;PAGO CONFIRMADO;904.34;0;24/05/2017;01/06/2017;904.34;02/06/2017;ARCSA;24/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
