Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16788343201700000010P;FA052414;PAGO CONFIRMADO;104,53;0;09/06/2017;19/06/2017;104.53;09/06/2017;ARCSA;09/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788343201700000009P;FA052412;PAGO CONFIRMADO;104,53;0;09/06/2017;19/06/2017;104.53;09/06/2017;ARCSA;09/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788343201700000008P;FA052427;PAGO CONFIRMADO;104,53;0;09/06/2017;19/06/2017;104.53;09/06/2017;ARCSA;09/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788343201700000007P;FA052388;PAGO CONFIRMADO;104,53;0;09/06/2017;19/06/2017;104.53;09/06/2017;ARCSA;09/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16790340201700000008P;FA052383;PAGO CONFIRMADO;104,53;0;09/06/2017;19/06/2017;104.53;09/06/2017;ARCSA;09/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16912880201700000014P;FA052351;PAGO CONFIRMADO;197,82;0;09/06/2017;17/06/2017;197.82;09/06/2017;ARCSA;09/06/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16010370201700000017P;FA052348;PAGO CONFIRMADO;904,34;0;09/06/2017;17/06/2017;904.34;09/06/2017;ARCSA;09/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16930580201600000026P;FA052366;PAGO CONFIRMADO;225,84;0;09/06/2017;17/06/2017;225.84;09/06/2017;ARCSA;;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16787609201700000013P;FA052364;PAGO CONFIRMADO;104,53;0;09/06/2017;17/06/2017;104.53;09/06/2017;ARCSA;09/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16793374201700000001P;FA052343;PAGO CONFIRMADO;904,34;0;09/06/2017;17/06/2017;904.34;09/06/2017;ARCSA;09/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16782625201700000005P;FA052323;PAGO CONFIRMADO;904,34;0;09/06/2017;17/06/2017;904.34;09/06/2017;ARCSA;09/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16787609201700000012P;FA052289;PAGO CONFIRMADO;104,53;0;08/06/2017;16/06/2017;104.53;09/06/2017;ARCSA;09/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16787609201700000011P;FA052288;PAGO CONFIRMADO;104,53;0;08/06/2017;16/06/2017;104.53;09/06/2017;ARCSA;09/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
