Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16914196201600000106P;FA053575;PAGO CONFIRMADO;904,34;0;22/06/2017;02/07/2017;904.34;22/06/2017;ARCSA;22/06/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16003700201700000006P;FA053546;PAGO CONFIRMADO;197,82;0;22/06/2017;02/07/2017;197.82;22/06/2017;ARCSA;22/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16793921201700000001P;FA053530;PAGO CONFIRMADO;104,53;0;22/06/2017;30/06/2017;104.53;22/06/2017;ARCSA;22/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794304201700000001P;FA053542;PAGO CONFIRMADO;104,53;0;22/06/2017;30/06/2017;104.53;22/06/2017;ARCSA;22/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794662201700000001P;FA053475;PAGO CONFIRMADO;104,53;0;21/06/2017;29/06/2017;104.53;22/06/2017;ARCSA;21/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16931054201700000005P;FA053468;PAGO CONFIRMADO;904,34;0;21/06/2017;06/07/2017;904.34;22/06/2017;ARCSA;22/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16782304201700000007P;FA053457;PAGO CONFIRMADO;104,53;0;21/06/2017;29/06/2017;104.53;22/06/2017;ARCSA;22/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16782304201700000005P;FA053459;PAGO CONFIRMADO;104,53;0;21/06/2017;29/06/2017;104.53;22/06/2017;ARCSA;22/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16782304201700000004P;FA053458;PAGO CONFIRMADO;104,53;0;21/06/2017;29/06/2017;104.53;22/06/2017;ARCSA;22/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16782304201700000003P;FA053467;PAGO CONFIRMADO;104,53;0;21/06/2017;29/06/2017;104.53;22/06/2017;ARCSA;22/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901658201700000020P;FA053456;PAGO CONFIRMADO;58,34;0;21/06/2017;29/06/2017;58.34;22/06/2017;ARCSA;22/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927174201700000172P;FA053448;PAGO CONFIRMADO;361,72;0;21/06/2017;01/07/2017;361.72;22/06/2017;ARCSA;21/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16926439201600000002P;FA053427;PAGO CONFIRMADO;2258,41;0;21/06/2017;17/01/2018;2258.41;22/06/2017;ARCSA;21/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
