Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16922126201700000029P;FA051413;PAGO CONFIRMADO;90.43;0;31/05/2017;08/06/2017;90.43;31/05/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16930612201700000024P;FA051358;PAGO CONFIRMADO;90.43;0;31/05/2017;08/06/2017;90.43;31/05/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16786153201700000011P;FA051355;PAGO CONFIRMADO;904.34;0;31/05/2017;08/06/2017;904.34;31/05/2017;ARCSA;31/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16790546201700000004P;FA051351;PAGO CONFIRMADO;104.53;0;30/05/2017;07/06/2017;104.53;31/05/2017;ARCSA;30/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16790546201700000001P;FA051362;PAGO CONFIRMADO;104.53;0;30/05/2017;07/06/2017;104.53;31/05/2017;ARCSA;30/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16933244201700000010P;FA051339;PAGO CONFIRMADO;34.03;0;30/05/2017;07/06/2017;34.03;31/05/2017;ARCSA;31/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16922126201700000009P;FA051338;PAGO CONFIRMADO;452.17;0;30/05/2017;07/06/2017;452.17;31/05/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16931310201700000102P;FA051336;PAGO CONFIRMADO;90.43;0;30/05/2017;07/06/2017;90.43;31/05/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911962201700000070P;FA051335;PAGO CONFIRMADO;58.34;0;30/05/2017;07/06/2017;58.34;31/05/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911962201700000072P;FA051345;PAGO CONFIRMADO;58.34;0;30/05/2017;07/06/2017;58.34;31/05/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911962201700000074P;FA051333;PAGO CONFIRMADO;58.34;0;30/05/2017;07/06/2017;58.34;31/05/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911962201700000076P;FA051331;PAGO CONFIRMADO;58.34;0;30/05/2017;07/06/2017;58.34;31/05/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16909570201700000010P;FA051329;PAGO CONFIRMADO;904.34;0;30/05/2017;07/06/2017;904.34;31/05/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
