Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16916534201700000132P;FA052853;PAGO CONFIRMADO;180,86;0;15/06/2017;25/06/2017;180.86;15/06/2017;ARCSA;15/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16916534201700000130P;FA052874;PAGO CONFIRMADO;180,86;0;15/06/2017;25/06/2017;180.86;15/06/2017;ARCSA;15/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16916534201700000109P;FA052852;PAGO CONFIRMADO;180,86;0;15/06/2017;25/06/2017;180.86;15/06/2017;ARCSA;15/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16916534201700000107P;FA052851;PAGO CONFIRMADO;180,86;0;15/06/2017;25/06/2017;180.86;15/06/2017;ARCSA;15/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16916534201700000139P;FA052873;PAGO CONFIRMADO;180,86;0;15/06/2017;25/06/2017;180.86;15/06/2017;ARCSA;15/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16916534201700000103P;FA052871;PAGO CONFIRMADO;180,86;0;15/06/2017;25/06/2017;180.86;15/06/2017;ARCSA;15/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16916534201700000121P;FA052870;PAGO CONFIRMADO;180,86;0;15/06/2017;25/06/2017;180.86;15/06/2017;ARCSA;15/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910499201700000238P;FA052868;PAGO CONFIRMADO;904,34;0;15/06/2017;23/06/2017;904.34;15/06/2017;ARCSA;15/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910499201700000237P;FA052867;PAGO CONFIRMADO;904,34;0;15/06/2017;25/06/2017;904.34;15/06/2017;ARCSA;15/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16787294201700000003P;FA052823;PAGO CONFIRMADO;9,61;0;14/06/2017;24/06/2017;9.61;15/06/2017;ARCSA;15/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16931503201700000012P;FA052822;PAGO CONFIRMADO;225,84;0;14/06/2017;10/01/2018;225.84;15/06/2017;ARCSA;14/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16787294201700000005P;FA052784;PAGO CONFIRMADO;9,61;0;14/06/2017;24/06/2017;9.61;15/06/2017;ARCSA;15/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928038201600000194P;FA052803;PAGO CONFIRMADO;2258,41;0;14/06/2017;10/01/2018;2258.41;15/06/2017;ARCSA;14/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
