Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16916534201700000077P;FA051687;PAGO CONFIRMADO;180,86;0;02/06/2017;10/06/2017;180.86;06/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794100201700000002P;FA051670;PAGO CONFIRMADO;104,53;0;02/06/2017;10/06/2017;104.53;06/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16916534201700000083P;FA051683;PAGO CONFIRMADO;180,86;0;02/06/2017;10/06/2017;180.86;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794100201700000005P;FA051682;PAGO CONFIRMADO;104,53;0;02/06/2017;10/06/2017;104.53;06/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794100201700000003P;FA051658;PAGO CONFIRMADO;104,53;0;02/06/2017;10/06/2017;104.53;06/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794100201700000004P;FA051669;PAGO CONFIRMADO;104,53;0;02/06/2017;10/06/2017;104.53;06/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16916534201700000082P;FA051668;PAGO CONFIRMADO;180,86;0;02/06/2017;10/06/2017;180.86;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911264201700000116P;FA051655;PAGO CONFIRMADO;58,34;0;02/06/2017;10/06/2017;58.34;06/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16916534201700000079P;FA051654;PAGO CONFIRMADO;180,86;0;02/06/2017;10/06/2017;180.86;06/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927993201600000152P;FA051644;PAGO CONFIRMADO;677,52;0;02/06/2017;10/06/2017;677.52;06/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
