Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16004408201700000018P;FA051600;PAGO CONFIRMADO;904.34;0;01/06/2017;09/06/2017;904.34;05/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16914261201700000206P;FA051610;PAGO CONFIRMADO;58.34;0;01/06/2017;09/06/2017;58.34;05/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16914261201700000205P;FA051596;PAGO CONFIRMADO;58.34;0;01/06/2017;09/06/2017;58.34;05/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16914261201700000204P;FA051595;PAGO CONFIRMADO;58.34;0;01/06/2017;09/06/2017;58.34;05/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16914261201700000207P;FA051608;PAGO CONFIRMADO;58.34;0;01/06/2017;09/06/2017;58.34;05/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16785358201700000001P;FA051594;PAGO CONFIRMADO;904.34;0;01/06/2017;09/06/2017;904.34;05/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16789522201700000009P;FA051592;PAGO CONFIRMADO;96.09;0;01/06/2017;09/06/2017;96.09;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16789522201700000006P;FA051581;PAGO CONFIRMADO;96.09;0;01/06/2017;09/06/2017;96.09;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16789522201700000005P;FA051580;PAGO CONFIRMADO;96.09;0;01/06/2017;09/06/2017;96.09;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16785358201600000005P;FA051586;PAGO CONFIRMADO;2258.41;0;01/06/2017;09/06/2017;2258.41;05/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927355201700000101P;FA051566;PAGO CONFIRMADO;904.34;0;01/06/2017;09/06/2017;904.34;05/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16927383201700000278P;FA051562;PAGO CONFIRMADO;58.34;0;01/06/2017;09/06/2017;58.34;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927383201700000277P;FA051535;PAGO CONFIRMADO;58.34;0;01/06/2017;09/06/2017;58.34;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927383201700000276P;FA051537;PAGO CONFIRMADO;58.34;0;01/06/2017;09/06/2017;58.34;05/06/2017;ARCSA;02/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16914196201700000069P;FA051530;PAGO CONFIRMADO;904.34;0;01/06/2017;09/06/2017;904.34;05/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
