Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16916534201700000094P;FA052540;PAGO CONFIRMADO;180,86;0;12/06/2017;22/06/2017;180.86;12/06/2017;ARCSA;12/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16916534201700000118P;FA052552;PAGO CONFIRMADO;180,86;0;12/06/2017;22/06/2017;180.86;12/06/2017;ARCSA;12/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16916534201700000096P;FA052548;PAGO CONFIRMADO;180,86;0;12/06/2017;22/06/2017;180.86;12/06/2017;ARCSA;12/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16915888201700000017P;FA052517;PAGO CONFIRMADO;90,43;0;12/06/2017;20/06/2017;90.43;12/06/2017;ARCSA;12/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794071201700000005P;FA052510;PAGO CONFIRMADO;96,09;0;12/06/2017;22/06/2017;96.09;12/06/2017;ARCSA;12/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794071201700000004P;FA052509;PAGO CONFIRMADO;96,09;0;12/06/2017;22/06/2017;96.09;12/06/2017;ARCSA;12/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16915888201700000016P;FA052524;PAGO CONFIRMADO;90,43;0;12/06/2017;20/06/2017;90.43;12/06/2017;ARCSA;12/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794071201700000003P;FA052499;PAGO CONFIRMADO;96,09;0;12/06/2017;22/06/2017;96.09;12/06/2017;ARCSA;12/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16915888201700000015P;FA052504;PAGO CONFIRMADO;90,43;0;12/06/2017;20/06/2017;90.43;12/06/2017;ARCSA;12/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16916534201700000135P;FA052502;PAGO CONFIRMADO;180,86;0;12/06/2017;22/06/2017;180.86;12/06/2017;ARCSA;12/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16793915201700000009P;FA052495;PAGO CONFIRMADO;104,53;0;12/06/2017;22/06/2017;104.53;12/06/2017;ARCSA;12/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929002201700000079P;FA052443;PAGO CONFIRMADO;714,72;0;11/06/2017;21/06/2017;714.72;12/06/2017;ARCSA;12/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929002201700000080P;FA052462;PAGO CONFIRMADO;714,72;0;11/06/2017;21/06/2017;714.72;12/06/2017;ARCSA;12/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
