Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16915888201700000014P;FA052656;PAGO CONFIRMADO;180,86;0;13/06/2017;21/06/2017;180.86;13/06/2017;ARCSA;13/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901637201700000768P;FA052650;PAGO CONFIRMADO;904,34;0;13/06/2017;23/06/2017;904.34;13/06/2017;ARCSA;13/06/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16912880201700000018P;FA052669;PAGO CONFIRMADO;197,82;0;13/06/2017;23/06/2017;197.82;13/06/2017;ARCSA;13/06/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16912880201700000017P;FA052648;PAGO CONFIRMADO;197,82;0;13/06/2017;23/06/2017;197.82;13/06/2017;ARCSA;13/06/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16912880201700000012P;FA052668;PAGO CONFIRMADO;197,82;0;13/06/2017;23/06/2017;197.82;13/06/2017;ARCSA;13/06/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16929835201700000021P;FA052666;PAGO CONFIRMADO;904,34;0;13/06/2017;23/06/2017;904.34;13/06/2017;ARCSA;13/06/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927262201700000761P;FA052663;PAGO CONFIRMADO;90,43;0;13/06/2017;21/06/2017;90.43;13/06/2017;ARCSA;13/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16003173201700000014P;FA052629;PAGO CONFIRMADO;904,34;0;13/06/2017;23/06/2017;904.34;13/06/2017;ARCSA;13/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16001588201700000031P;FA052644;PAGO CONFIRMADO;678,25;0;13/06/2017;21/06/2017;678.25;13/06/2017;ARCSA;13/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16933376201700000043P;FA052627;PAGO CONFIRMADO;39,57;0;13/06/2017;23/06/2017;39.57;13/06/2017;ARCSA;13/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16786019201700000018P;FA052622;PAGO CONFIRMADO;197,82;0;13/06/2017;23/06/2017;197.82;13/06/2017;ARCSA;13/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16786019201700000017P;FA052624;PAGO CONFIRMADO;197,82;0;13/06/2017;23/06/2017;197.82;13/06/2017;ARCSA;13/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16786019201700000015P;FA052623;PAGO CONFIRMADO;197,82;0;13/06/2017;23/06/2017;197.82;13/06/2017;ARCSA;13/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
