Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16781766201700000071P;FA050729;PAGO CONFIRMADO;10.45;0;23/05/2017;31/05/2017;10.45;23/05/2017;ARCSA;23/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16781766201700000068P;FA050725;PAGO CONFIRMADO;10.45;0;23/05/2017;31/05/2017;10.45;23/05/2017;ARCSA;23/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16781766201700000069P;FA050723;PAGO CONFIRMADO;10.45;0;23/05/2017;31/05/2017;10.45;23/05/2017;ARCSA;23/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929111201700000100P;FA050714;PAGO CONFIRMADO;904.34;0;23/05/2017;31/05/2017;904.34;23/05/2017;ARCSA;23/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929111201700000099P;FA050713;PAGO CONFIRMADO;904.34;0;23/05/2017;31/05/2017;904.34;23/05/2017;ARCSA;23/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911420201700000025P;FA050712;PAGO CONFIRMADO;340.34;0;23/05/2017;31/05/2017;340.34;23/05/2017;ARCSA;23/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911420201700000024P;FA050711;PAGO CONFIRMADO;340.34;0;23/05/2017;31/05/2017;340.34;23/05/2017;ARCSA;23/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911420201700000023P;FA050710;PAGO CONFIRMADO;340.34;0;23/05/2017;31/05/2017;340.34;23/05/2017;ARCSA;23/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911420201700000022P;FA050694;PAGO CONFIRMADO;340.34;0;23/05/2017;31/05/2017;340.34;23/05/2017;ARCSA;23/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16930794201700000007P;FA050685;PAGO CONFIRMADO;452.17;0;22/05/2017;30/05/2017;452.17;23/05/2017;ARCSA;23/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928551201700000271P;FA050704;PAGO CONFIRMADO;271.29;0;22/05/2017;30/05/2017;271.29;23/05/2017;ARCSA;22/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16008968201700000001P;FA050683;PAGO CONFIRMADO;904.34;0;22/05/2017;30/05/2017;904.34;23/05/2017;ARCSA;22/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928551201700000270P;FA050682;PAGO CONFIRMADO;904.34;0;22/05/2017;30/05/2017;904.34;23/05/2017;ARCSA;22/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
