Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16792309201700000044P;FA052755;PAGO CONFIRMADO;904,34;0;14/06/2017;24/06/2017;904.34;14/06/2017;ARCSA;14/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788589201700000021P;FA052753;PAGO CONFIRMADO;96,09;0;14/06/2017;24/06/2017;96.09;14/06/2017;ARCSA;14/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788589201700000027P;FA052752;PAGO CONFIRMADO;96,09;0;14/06/2017;24/06/2017;96.09;14/06/2017;ARCSA;14/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788589201700000032P;FA052774;PAGO CONFIRMADO;96,09;0;14/06/2017;24/06/2017;96.09;14/06/2017;ARCSA;14/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788589201700000023P;FA052773;PAGO CONFIRMADO;96,09;0;14/06/2017;24/06/2017;96.09;14/06/2017;ARCSA;14/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788589201700000029P;FA052751;PAGO CONFIRMADO;96,09;0;14/06/2017;24/06/2017;96.09;14/06/2017;ARCSA;14/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16006577201700000005P;FA052771;PAGO CONFIRMADO;20,9;0;14/06/2017;22/06/2017;20.9;14/06/2017;ARCSA;14/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16006577201700000006P;FA052768;PAGO CONFIRMADO;20,9;0;14/06/2017;22/06/2017;20.9;14/06/2017;ARCSA;14/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788589201700000040P;FA052769;PAGO CONFIRMADO;96,09;0;14/06/2017;24/06/2017;96.09;14/06/2017;ARCSA;14/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16919062201700001025P;FA052762;PAGO CONFIRMADO;58,34;0;14/06/2017;22/06/2017;58.34;14/06/2017;ARCSA;14/06/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16004581201700000004P;FA052732;PAGO CONFIRMADO;340,34;0;13/06/2017;23/06/2017;340.34;14/06/2017;ARCSA;13/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16788211201700000001P;FA052720;PAGO CONFIRMADO;104,53;0;13/06/2017;23/06/2017;104.53;14/06/2017;ARCSA;13/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928204201700000232P;FA052719;PAGO CONFIRMADO;904,34;0;13/06/2017;23/06/2017;904.34;14/06/2017;ARCSA;13/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
