Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16793709201700000020P;FA052229;PAGO CONFIRMADO;104,53;0;08/06/2017;16/06/2017;104.53;08/06/2017;ARCSA;08/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16916534201700000102P;FA052210;PAGO CONFIRMADO;180,86;0;08/06/2017;16/06/2017;180.86;08/06/2017;ARCSA;08/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16780068201700000015P;FA052206;PAGO CONFIRMADO;361,72;0;08/06/2017;16/06/2017;361.72;08/06/2017;ARCSA;08/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16791539201700000002P;FA052205;PAGO CONFIRMADO;340,34;0;08/06/2017;16/06/2017;340.34;08/06/2017;ARCSA;08/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16916961201700000001P;FA052182;PAGO CONFIRMADO;104,53;0;08/06/2017;16/06/2017;104.53;08/06/2017;ARCSA;08/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794481201700000001P;FA052153;PAGO CONFIRMADO;340,34;0;07/06/2017;15/06/2017;340.34;08/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927808201700000004P;FA052147;PAGO CONFIRMADO;904,34;0;07/06/2017;15/06/2017;904.34;08/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927808201700000003P;FA052133;PAGO CONFIRMADO;904,34;0;07/06/2017;15/06/2017;904.34;08/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16915575201600000009P;FA052131;PAGO CONFIRMADO;90,43;0;07/06/2017;15/06/2017;90.43;08/06/2017;ARCSA;08/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927808201700000005P;FA052130;PAGO CONFIRMADO;904,34;0;07/06/2017;15/06/2017;904.34;08/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16916534201700000123P;FA052143;PAGO CONFIRMADO;180,86;0;07/06/2017;15/06/2017;180.86;08/06/2017;ARCSA;08/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16916534201700000122P;FA052142;PAGO CONFIRMADO;180,86;0;07/06/2017;15/06/2017;180.86;08/06/2017;ARCSA;08/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928551201700000311P;FA052120;PAGO CONFIRMADO;904,34;0;07/06/2017;15/06/2017;904.34;08/06/2017;ARCSA;07/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
